planet_name,orbital_period_days,transit_midpoint_bjd,transit_duration_hrs,transit_depth_ppm,planet_radius_earth,equilibrium_temp_k,insolation_earthflux,stellar_teff_k,stellar_radius_sun,stellar_logg_cgs,ra_deg,dec_deg,source
K00821.01,21.81295996,174.01085,4.3791,1175.4,3.38,639.0,39.33,5601.0,0.999,4.41,294.77686,40.15374,Kepler
K00822.01,7.91936937,172.181092,3.3148,15148.0,10.34,814.0,104.0,5690.0,0.776,4.588,283.53845,40.217999,Kepler
K00823.01,1.028436523,170.228582,1.8606,8098.0,72.77,1947.0,3400.48,6228.0,0.99,4.428,296.00699,40.295429,Kepler
K00824.01,15.37562369,173.61402,3.3169,15337.0,11.01,600.0,30.54,4986.0,0.833,4.496,283.25354,40.358189,Kepler
K00825.01,8.10363271,176.9486,3.161,887.9,2.11,687.0,52.82,4861.0,0.732,4.574,283.22141,40.421829,Kepler
K00825.02,4.71510843,134.96178,2.506,417.5,1.46,823.0,108.84,4861.0,0.732,4.574,283.22141,40.421829,Kepler
K00826.01,6.365839713,171.13575,2.9721,780.7,2.44,914.0,165.33,5776.0,0.849,4.554,291.14951,40.420521,Kepler
K00827.01,5.97581754,174.77602,3.065,962.4,3.86,1047.0,284.25,6108.0,0.997,4.471,294.22397,40.417858,Kepler
K00839.01,2.446737317,170.66951,4.7211,1177.9,26.25,1261.0,597.19,5764.0,0.863,4.548,298.96112,40.862808,Kepler
K00840.01,3.04033046,169.9490106,1.8411,10859.0,8.99,1021.0,257.29,5035.0,0.791,4.519,299.3161,40.82238,Kepler
K00841.01,15.33528675,174.00278,3.897,3081.4,5.0,610.0,32.67,5251.0,0.817,4.581,292.23676,41.08588,Kepler
K00117.04,7.95825328,137.80219,4.377,50.0,1.06,1074.0,314.15,5847.0,1.402,4.191,297.02826,48.208611,Kepler
K00841.02,31.33046135,153.43031,5.176,5073.8,6.5,481.0,12.61,5251.0,0.817,4.581,292.23676,41.08588,Kepler
K00831.01,3.9043425,173.393734,3.831,16228.0,12.28,1104.0,351.05,5810.0,0.898,4.526,294.05676,40.549679,Kepler
K00832.01,9.286358079,171.8214689,3.49949,44791.0,17.61,796.0,95.03,5670.0,0.821,4.523,294.74396,40.53392,Kepler
K00833.01,3.951405455,173.276125,2.1862,2453.9,31.44,1133.0,388.71,6046.0,0.869,4.539,295.50439,40.505489,Kepler
K00834.01,23.65369415,171.376107,8.2183,3341.8,7.89,731.0,67.65,5739.0,1.384,4.191,287.89713,40.637821,Kepler
K00834.02,13.23352214,140.32196,6.7372,504.6,3.06,888.0,146.67,5739.0,1.384,4.191,287.89713,40.637821,Kepler
K00834.03,6.15560285,134.81656,4.9843,285.0,2.32,1146.0,406.94,5739.0,1.384,4.191,287.89713,40.637821,Kepler
K00834.04,2.090811305,134.17462,3.388,115.9,1.62,1642.0,1718.04,5739.0,1.384,4.191,287.89713,40.637821,Kepler
K00117.03,3.180027898,133.49863,3.5797,120.3,1.53,1458.0,1066.86,5847.0,1.402,4.191,297.02826,48.208611,Kepler
K00834.05,50.4467417,178.5014,7.159,370.3,2.67,568.0,24.64,5739.0,1.384,4.191,287.89713,40.637821,Kepler
K00835.01,11.76307164,180.93613,2.9076,1037.3,2.35,616.0,33.99,4959.0,0.756,4.603,294.20215,40.66341,Kepler
K00835.02,56.2279271,132.29259,3.57,862.7,2.37,366.0,4.22,4959.0,0.756,4.603,294.20215,40.66341,Kepler
K00836.01,2.384052875,171.58362,3.0918,1268.1,17.06,1010.0,244.87,4794.0,0.701,4.58,299.64285,40.691238,Kepler
K00837.01,7.953547,174.66224,2.6312,875.4,2.25,696.0,55.37,4768.0,0.779,4.536,291.15878,40.750271,Kepler
K00837.02,4.14451656,135.92831,2.3421,391.8,1.48,864.0,132.08,4768.0,0.779,4.536,291.15878,40.750271,Kepler
K00838.01,4.859386384,173.011469,2.2757,6044.3,38.33,1114.0,364.23,6072.0,0.988,4.47,292.21436,40.759762,Kepler
K00850.01,10.526294577,176.522462,2.5211,9768.0,8.24,713.0,61.16,5386.0,0.793,4.553,293.87811,41.66177,Kepler
K00851.01,4.583520948,169.973972,2.7055,3812.1,5.39,1038.0,274.98,5815.0,0.877,4.54,299.18686,41.74268,Kepler
K00852.01,3.76181843,171.90364,3.5176,510.6,2.66,1121.0,372.62,5653.0,0.949,4.472,283.31638,41.83712,Kepler
K00853.01,8.20396958,169.69138,2.9667,1024.4,3.01,742.0,71.5,5015.0,0.826,4.499,286.5657,41.808399,Kepler
K00853.02,14.49645186,143.41659,4.016,647.5,3.01,613.0,33.48,5015.0,0.826,4.499,286.5657,41.808399,Kepler
K00841.03,6.54626149,133.85964,2.75,655.9,2.19,810.0,101.78,5251.0,0.817,4.581,292.23676,41.08588,Kepler
K00842.01,12.71809866,175.35526,3.0957,1149.4,2.31,562.0,23.6,4702.0,0.686,4.592,292.91312,41.060921,Kepler
K00842.02,36.06588163,198.58423,4.3246,1563.8,2.64,397.0,5.88,4702.0,0.686,4.592,292.91312,41.060921,Kepler
K00843.01,4.190425659,171.44122,2.8589,2877.4,6.21,1234.0,547.9,6073.0,1.135,4.392,293.49661,41.137589,Kepler
K00844.01,3.709870784,171.987982,3.0694,2020.3,4.35,1151.0,415.1,5727.0,0.978,4.463,283.86441,41.346458,Kepler
